STUFF LIST - 1  
RESISTOR_0603-220R,1%,MULTICOMP Farnell 911-150          R11             

----------------

RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R6              
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R7              
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R19             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R20             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R21             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R22             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R36             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R37             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R38             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R39             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R40             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R41             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R42             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R43             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R44             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R45             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R46             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R47             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R48             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R49             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R50             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R51             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R52             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R53             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R54             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R55             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R56             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R57             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R58             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R59             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R60             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R61             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R62             
RESISTOR_0603-270R,1%,MULTICOMP Farnell 911-161          R63             

----------------

RESISTOR_0603-430R,1%,MULTICOMP Farnell 357-1350         R3              

----------------

RESISTOR_0603-68R,1%,MULTICOMP Farnell 911-064          R9              
RESISTOR_0603-68R,1%,MULTICOMP Farnell 911-064          R12             

----------------

RESISTOR_0805-10R,1%,MULTICOMP Farnell 911-616          R1              
RESISTOR_0805-10R,1%,MULTICOMP Farnell 911-616          R30             
RESISTOR_0805-10R,1%,MULTICOMP Farnell 911-616          R31             

----------------

RESISTOR_0805-1K0,1%,CAT Farnell 911-859          R23             
RESISTOR_0805-1K0,1%,CAT Farnell 911-859          R24             
RESISTOR_0805-1K0,1%,CAT Farnell 911-859          R25             
RESISTOR_0805-1K0,1%,CAT Farnell 911-859          R32             
RESISTOR_0805-1K0,1%,CAT Farnell 911-859          R33             
RESISTOR_0805-1K0,1%,CAT Farnell 911-859          R34             
RESISTOR_0805-1K0,1%,CAT Farnell 911-859          R35             

----------------

RESISTOR_0805-20R,1%,MULTICOMP Farnell 321-7851         R29             

----------------

RESISTOR_0805-2R2,1%,MULTICOMP Farnell 321-7784         R10             

----------------

RESISTOR_0805-33R,1%,MULTICOMP Farnell 911-677          R28             

----------------

RESISTOR_0805-56R,1%,MULTICOMP Farnell 911-707          R26             
RESISTOR_0805-56R,1%,MULTICOMP Farnell 911-707          R27             

----------------

SK-AMP-050-68_RT-ANG-787190-7,A Amplimite 787190-7       SK9             
SK-AMP-050-68_RT-ANG-787190-7,A Amplimite 787190-7       SK10            
SK-AMP-050-68_RT-ANG-787190-7,A Amplimite 787190-7       SK21            

----------------

SK-LEMO-00_RT-ANG-EPL,LEMO Lemo EPL.00.250.DTN      SK6             

----------------

SK-LEMO0B-2F-PCB_RT-ANG-LEMO Lemo EPG.302.HLN         SK2             
SK-LEMO0B-2F-PCB_RT-ANG-LEMO Lemo EPG.302.HLN         SK3             
SK-LEMO0B-2F-PCB_RT-ANG-LEMO Lemo EPG.302.HLN         SK4             
SK-LEMO0B-2F-PCB_RT-ANG-LEMO Lemo EPG.302.HLN         SK5             

----------------

SK-SMA-PCB_STR-RS RS 414-1379              SK12            
SK-SMA-PCB_STR-RS RS 414-1379              SK13            
SK-SMA-PCB_STR-RS RS 414-1379              SK14            
SK-SMA-PCB_STR-RS RS 414-1379              SK15            
SK-SMA-PCB_STR-RS RS 414-1379              SK16            
SK-SMA-PCB_STR-RS RS 414-1379              SK17            
SK-SMA-PCB_STR-RS RS 414-1379              SK18            
SK-SMA-PCB_STR-RS RS 414-1379              SK19            
SK-SMA-PCB_STR-RS RS 414-1379              SK20            

----------------

TEN-5-DUALOP_DIP-TRACO,48V/+-5V TEN-5-4821               U5              

----------------

TEN-5_DIP-TRACO,48V/5V TEN-5-4811               U10             

----------------

TERM-BLK-3_STR-LUMBERG Farnell 151-786          SK1             
TERM-BLK-3_STR-LUMBERG Farnell 151-786          SK8             
TERM-BLK-3_STR-LUMBERG Farnell 151-786          SK11            

----------------

END STUFF LIST
