CONCISE NET LIST - 1  
UNNAMED_1_100E111_I60_IN U4               2        100E111_PLCC-SYNERGY
UNNAMED_1_100E111_I60_IN_1 C16              1        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_100E111_I60_IN_1 R17              1        RESISTOR_0603-1K0,1%,MULTICOMP
UNNAMED_1_100E111_I60_IN_1 U4               28       100E111_PLCC-SYNERGY
UNNAMED_1_100E111_I60_Q1 R20              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_1_100E111_I60_Q1 SK6              1        SK-LEMO-00_RT-ANG-EPL,LEMO
UNNAMED_1_100E111_I60_Q1 U4               23       100E111_PLCC-SYNERGY
UNNAMED_1_100E111_I60_Q1_1 R19              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_1_100E111_I60_Q1_1 U4               21       100E111_PLCC-SYNERGY
UNNAMED_1_100E111_I60_VBB C17              2        CAPACITOR_0603-10N,+/-10%,AVX-A
UNNAMED_1_100E111_I60_VBB R17              2        RESISTOR_0603-1K0,1%,MULTICOMP
UNNAMED_1_100E111_I60_VBB R18              2        RESISTOR_0603-1K0,1%,MULTICOMP
UNNAMED_1_100E111_I60_VBB U4               3        100E111_PLCC-SYNERGY
UNNAMED_1_100EL16_I3_D   C2               2        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_100EL16_I3_D   R4               2        RESISTOR_0603-1K0,1%,MULTICOMP
UNNAMED_1_100EL16_I3_D   U1               2        100EL16_SOIC-SYNERGY
UNNAMED_1_100EL16_I3_DBAR C3               2        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_100EL16_I3_DBAR R5               2        RESISTOR_0603-1K0,1%,MULTICOMP
UNNAMED_1_100EL16_I3_DBAR U1               3        100EL16_SOIC-SYNERGY
UNNAMED_1_100EL16_I3_Q   C10              1        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_100EL16_I3_Q   R7               2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_1_100EL16_I3_Q   U1               7        100EL16_SOIC-SYNERGY
UNNAMED_1_100EL16_I3_QBAR C8               2        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_100EL16_I3_QBAR R6               2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_1_100EL16_I3_QBAR U1               6        100EL16_SOIC-SYNERGY
UNNAMED_1_100EL16_I3_VBB C4               2        CAPACITOR_0603-10N,+/-10%,AVX-A
UNNAMED_1_100EL16_I3_VBB R4               1        RESISTOR_0603-1K0,1%,MULTICOMP
UNNAMED_1_100EL16_I3_VBB R5               1        RESISTOR_0603-1K0,1%,MULTICOMP
UNNAMED_1_100EL16_I3_VBB U1               4        100EL16_SOIC-SYNERGY
UNNAMED_1_8WAY-SPST_I4_B RN1              3        RESISTOR-NET-7C_SIL-1K,2%,BOURA
UNNAMED_1_8WAY-SPST_I4_B SW1              10       8WAY-SPST_SMD-HP-DIPTRONICS
UNNAMED_1_8WAY-SPST_I4_B U2               4        QPLL28-CERN_LPCC-CERN
UNNAMED_1_8WAY-SPST_I4_B_1 RN1              2        RESISTOR-NET-7C_SIL-1K,2%,BOURA
UNNAMED_1_8WAY-SPST_I4_B_1 SW1              9        8WAY-SPST_SMD-HP-DIPTRONICS
UNNAMED_1_8WAY-SPST_I4_B_1 U2               27       QPLL28-CERN_LPCC-CERN
UNNAMED_1_8WAY-SPST_I4_B_2 RN1              7        RESISTOR-NET-7C_SIL-1K,2%,BOURA
UNNAMED_1_8WAY-SPST_I4_B_2 SW1              14       8WAY-SPST_SMD-HP-DIPTRONICS
UNNAMED_1_8WAY-SPST_I4_B_2 U2               7        QPLL28-CERN_LPCC-CERN
UNNAMED_1_8WAY-SPST_I4_B_3 RN1              6        RESISTOR-NET-7C_SIL-1K,2%,BOURA
UNNAMED_1_8WAY-SPST_I4_B_3 SW1              13       8WAY-SPST_SMD-HP-DIPTRONICS
UNNAMED_1_8WAY-SPST_I4_B_3 U2               14       QPLL28-CERN_LPCC-CERN
UNNAMED_1_8WAY-SPST_I4_B_4 RN1              8        RESISTOR-NET-7C_SIL-1K,2%,BOURA
UNNAMED_1_8WAY-SPST_I4_B_4 SW1              15       8WAY-SPST_SMD-HP-DIPTRONICS
UNNAMED_1_8WAY-SPST_I4_B_4 U2               5        QPLL28-CERN_LPCC-CERN
UNNAMED_1_8WAY-SPST_I4_B_5 RN1              4        RESISTOR-NET-7C_SIL-1K,2%,BOURA
UNNAMED_1_8WAY-SPST_I4_B_5 SW1              11       8WAY-SPST_SMD-HP-DIPTRONICS
UNNAMED_1_8WAY-SPST_I4_B_5 U2               28       QPLL28-CERN_LPCC-CERN
UNNAMED_1_8WAY-SPST_I4_B_6 RN1              5        RESISTOR-NET-7C_SIL-1K,2%,BOURA
UNNAMED_1_8WAY-SPST_I4_B_6 SW1              12       8WAY-SPST_SMD-HP-DIPTRONICS
UNNAMED_1_8WAY-SPST_I4_B_6 U2               21       QPLL28-CERN_LPCC-CERN
UNNAMED_1_CAPACITOR_I15_A C2               1        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_CAPACITOR_I15_A R2               2        RESISTOR_0603-100R,5%,ROHM
UNNAMED_1_CAPACITOR_I15_A SK2              1        SK-LEMO0B-2F-PCB_RT-ANG-LEMO
UNNAMED_1_CAPACITOR_I16_A C3               1        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_CAPACITOR_I16_A R2               1        RESISTOR_0603-100R,5%,ROHM
UNNAMED_1_CAPACITOR_I16_A SK2              2        SK-LEMO0B-2F-PCB_RT-ANG-LEMO
UNNAMED_1_CAPACITOR_I24_B C10              2        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_CAPACITOR_I24_B R11              1        RESISTOR_0603-220R,1%,MULTICOMP
UNNAMED_1_CAPACITOR_I24_B R12              2        RESISTOR_0603-68R,1%,MULTICOMP
UNNAMED_1_CAPACITOR_I24_B U2               1        QPLL28-CERN_LPCC-CERN
UNNAMED_1_CAPACITOR_I25_A C8               1        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_CAPACITOR_I25_A R8               1        RESISTOR_0603-220R,1%,MULTICOMP
UNNAMED_1_CAPACITOR_I25_A R9               2        RESISTOR_0603-68R,1%,MULTICOMP
UNNAMED_1_CAPACITOR_I25_A U2               2        QPLL28-CERN_LPCC-CERN
UNNAMED_1_CAPACITOR_I31_B C13              2        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_CAPACITOR_I31_B U2               23       QPLL28-CERN_LPCC-CERN
UNNAMED_1_CAPACITOR_I49_A C18              1        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_CAPACITOR_I49_A R16              2        RESISTOR_0603-100R,1%,ROHM
UNNAMED_1_CAPACITOR_I49_A U2               19       QPLL28-CERN_LPCC-CERN
UNNAMED_1_CAPACITOR_I50_B C16              2        CAPACITOR_0603-100N,+/-10%,AVXA
UNNAMED_1_CAPACITOR_I50_B R16              1        RESISTOR_0603-100R,1%,ROHM
UNNAMED_1_CAPACITOR_I50_B U2               20       QPLL28-CERN_LPCC-CERN
UNNAMED_1_CAPACITOR_I76_A C7               2        CAPACITOR_CASE-C-22U,+/-10%,AVA
UNNAMED_1_CAPACITOR_I76_A C9               1        CAPACITOR_0603-1U0,+/-10%,MURAA
UNNAMED_1_CAPACITOR_I76_A L2               1        INDUCTOR_SMD-1.0U,MEGGIT
UNNAMED_1_CAPACITOR_I76_A R10              1        RESISTOR_0805-2R2,1%,MULTICOMP
UNNAMED_1_CAPACITOR_I76_A VR1              2        LD1086_DDPAK-D2T25,STM
UNNAMED_1_CAPACITOR_I77_B C1               2        CAPACITOR_CASE-C-22U,+/-10%,AVA
UNNAMED_1_CAPACITOR_I77_B L1               1        INDUCTOR_SMD-4.7U,MEC
UNNAMED_1_CAPACITOR_I77_B R1               1        RESISTOR_0805-10R,1%,MULTICOMP
UNNAMED_1_CAPACITOR_I77_B SK1              1        TERM-BLK-3_STR-LUMBERG
UNNAMED_1_CC1F-T1A_I5_A1 U2               26       QPLL28-CERN_LPCC-CERN
UNNAMED_1_CC1F-T1A_I5_A1 U3               1        CC1F-T1A_SMD-40.08MHZ,MICRO CRA
UNNAMED_1_CC1F-T1A_I5_A2 U2               24       QPLL28-CERN_LPCC-CERN
UNNAMED_1_CC1F-T1A_I5_A2 U3               2        CC1F-T1A_SMD-40.08MHZ,MICRO CRA
UNNAMED_1_HEADER2X1_I79_B PL1              2        HEADER2X1_STR-HARWIN
UNNAMED_1_HEADER2X1_I79_B U2               6        QPLL28-CERN_LPCC-CERN
UNNAMED_1_LED-SMD_I35_A1 DS3              1        LED-SMD_0805-RED,ROHM
UNNAMED_1_LED-SMD_I35_A1 U2               9        QPLL28-CERN_LPCC-CERN
UNNAMED_1_LED-SMD_I35_K1 DS3              2        LED-SMD_0805-RED,ROHM
UNNAMED_1_LED-SMD_I35_K1 R15              2        RESISTOR_0603-100R,1%,ROHM
UNNAMED_1_LED-SMD_I94_K1 DS1              2        LED-SMD_0805-RED,ROHM
UNNAMED_1_LED-SMD_I94_K1 R3               2        RESISTOR_0603-430R,1%,MULTICOMP
UNNAMED_1_LED-SMD_I95_K1 DS2              2        LED-SMD_0805-RED,ROHM
UNNAMED_1_LED-SMD_I95_K1 R14              2        RESISTOR_0603-100R,1%,ROHM
UNNAMED_1_QPLL28-CERN_I2_INCMOS R13              2        RESISTOR_0603-100R,1%,ROHM
UNNAMED_1_QPLL28-CERN_I2_INCMOS U2               3        QPLL28-CERN_LPCC-CERN
UNNAMED_1_QPLL28-CERN_I2_LVDS16 SK3              2        SK-LEMO0B-2F-PCB_RT-ANG-LEMO
UNNAMED_1_QPLL28-CERN_I2_LVDS16 U2               15       QPLL28-CERN_LPCC-CERN
UNNAMED_1_QPLL28-CERN_I2_LVDS80 SK4              2        SK-LEMO0B-2F-PCB_RT-ANG-LEMO
UNNAMED_1_QPLL28-CERN_I2_LVDS80 U2               12       QPLL28-CERN_LPCC-CERN
UNNAMED_1_QPLL28-CERN_I2_LVDS_1 SK3              1        SK-LEMO0B-2F-PCB_RT-ANG-LEMO
UNNAMED_1_QPLL28-CERN_I2_LVDS_1 U2               16       QPLL28-CERN_LPCC-CERN
UNNAMED_1_QPLL28-CERN_I2_LVDS_2 SK4              1        SK-LEMO0B-2F-PCB_RT-ANG-LEMO
UNNAMED_1_QPLL28-CERN_I2_LVDS_2 U2               13       QPLL28-CERN_LPCC-CERN
UNNAMED_1_RESISTOR_I57_B R22              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_1_RESISTOR_I57_B SK5              2        SK-LEMO0B-2F-PCB_RT-ANG-LEMO
UNNAMED_1_RESISTOR_I57_B U4               24       100E111_PLCC-SYNERGY
UNNAMED_1_RESISTOR_I58_B R21              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_1_RESISTOR_I58_B SK5              1        SK-LEMO0B-2F-PCB_RT-ANG-LEMO
UNNAMED_1_RESISTOR_I58_B U4               25       100E111_PLCC-SYNERGY
UNNAMED_2_100324-DIP_I25_D U6               7        100ELT23_SOIC-SYNERGY
UNNAMED_2_100324-DIP_I25_D U9               21       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I25_EN R35              1        RESISTOR_0805-1K0,1%,CAT
UNNAMED_2_100324-DIP_I25_EN U9               19       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I25_OP R37              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I25_OP SK9              1        SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I25_OP U9               24       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I25_OP_1 R36              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I25_OP_1 SK9              35       SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I25_OP_1 U9               1        100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I26_D U8               6        100ELT23_SOIC-SYNERGY
UNNAMED_2_100324-DIP_I26_D U9               15       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I26_OP R47              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I26_OP SK9              9        SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I26_OP U9               14       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I26_OP_1 R46              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I26_OP_1 SK9              43       SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I26_OP_1 U9               13       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I27_D U8               7        100ELT23_SOIC-SYNERGY
UNNAMED_2_100324-DIP_I27_D U9               16       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I27_OP R45              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I27_OP SK9              7        SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I27_OP U9               12       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I27_OP_1 R44              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I27_OP_1 SK9              41       SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I27_OP_1 U9               11       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I28_D U7               6        100ELT23_SOIC-SYNERGY
UNNAMED_2_100324-DIP_I28_D U9               17       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I28_OP R43              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I28_OP SK9              6        SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I28_OP U9               9        100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I28_OP_1 R42              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I28_OP_1 SK9              40       SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I28_OP_1 U9               10       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I29_D U7               7        100ELT23_SOIC-SYNERGY
UNNAMED_2_100324-DIP_I29_D U9               23       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I29_OP R40              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I29_OP SK9              38       SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I29_OP U9               4        100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I29_OP_1 R41              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I29_OP_1 SK9              4        SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I29_OP_1 U9               5        100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I30_D U6               6        100ELT23_SOIC-SYNERGY
UNNAMED_2_100324-DIP_I30_D U9               22       100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I30_OP R39              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I30_OP SK9              3        SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I30_OP U9               2        100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100324-DIP_I30_OP_1 R38              2        RESISTOR_0603-270R,1%,MULTICOMP
UNNAMED_2_100324-DIP_I30_OP_1 SK9              37       SK-AMP-050-68_RT-ANG-787190-7,A
UNNAMED_2_100324-DIP_I30_OP_1 U9               3        100324-DIP_DIP-FAIRCHILD
UNNAMED_2_100ELT23_I10_D0 R67              1        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I10_D0 SK7              1        PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I10_D0 U6               1        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I10_D0_1 R67              2        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I10_D0_1 SK7              35       PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I10_D0_1 U6               2        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I10_D1 R64              1        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I10_D1 SK7              3        PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I10_D1 U6               4        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I10_D1_1 R64              2        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I10_D1_1 SK7              37       PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I10_D1_1 U6               3        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I11_D0 R69              1        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I11_D0 SK7              4        PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I11_D0 U7               1        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I11_D0_1 R69              2        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I11_D0_1 SK7              38       PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I11_D0_1 U7               2        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I11_D1 R65              1        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I11_D1 SK7              6        PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I11_D1 U7               4        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I11_D1_1 R65              2        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I11_D1_1 SK7              40       PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I11_D1_1 U7               3        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I12_D0 R68              1        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I12_D0 SK7              7        PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I12_D0 U8               1        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I12_D0_1 R68              2        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I12_D0_1 SK7              41       PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I12_D0_1 U8               2        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I12_D1 R66              1        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I12_D1 SK7              9        PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I12_D1 U8               4        100ELT23_SOIC-SYNERGY
UNNAMED_2_100ELT23_I12_D1_1 R66              2        RESISTOR_0603-120R,1%,MULTICOMP
UNNAMED_2_100ELT23_I12_D1_1 SK7              43       PL-AMP-050-68_RT-ANG-AMP
UNNAMED_2_100ELT23_I12_D1_1 U8               3        100ELT23_SOIC-SYNERGY
UNNAMED_2_FUSE-SMD_I54_A FS1              1        FUSE-SMD_SMF-250MA,LITTELFUSE
UNNAMED_2_FUSE-SMD_I54_A SK8              1        TERM-BLK-3_STR-LUMBERG
UNNAMED_2_TEN-5-DUALOP_I13_VINN D1               2        DIODE_SMD-SOT-ZHCS750,ZETEX
UNNAMED_2_TEN-5-DUALOP_I13_VINN SK8              2        TERM-BLK-3_STR-LUMBERG
